group,variable,value
popularity,popularity,1.0
duration_ms,popularity,-0.01
danceability,popularity,0.04
energy,popularity,0.0
loudness,popularity,0.05
speechiness,popularity,-0.04
acousticness,popularity,-0.03
instrumentalness,popularity,-0.1
liveness,popularity,-0.01
valence,popularity,-0.04
tempo,popularity,0.01
popularity,duration_ms,-0.01
duration_ms,duration_ms,1.0
danceability,duration_ms,-0.07
energy,duration_ms,0.06
loudness,duration_ms,-0.0
speechiness,duration_ms,-0.06
acousticness,duration_ms,-0.1
instrumentalness,duration_ms,0.12
liveness,duration_ms,0.01
valence,duration_ms,-0.15
tempo,duration_ms,0.02
popularity,danceability,0.04
duration_ms,danceability,-0.07
danceability,danceability,1.0
energy,danceability,0.13
loudness,danceability,0.26
speechiness,danceability,0.11
acousticness,danceability,-0.17
instrumentalness,danceability,-0.19
liveness,danceability,-0.13
valence,danceability,0.48
tempo,danceability,-0.05
popularity,energy,0.0
duration_ms,energy,0.06
danceability,energy,0.13
energy,energy,1.0
loudness,energy,0.76
speechiness,energy,0.14
acousticness,energy,-0.73
instrumentalness,energy,-0.18
liveness,energy,0.18
valence,energy,0.26
tempo,energy,0.25
popularity,loudness,0.05
duration_ms,loudness,-0.0
danceability,loudness,0.26
energy,loudness,0.76
loudness,loudness,1.0
speechiness,loudness,0.06
acousticness,loudness,-0.59
instrumentalness,loudness,-0.43
liveness,loudness,0.08
valence,loudness,0.28
tempo,loudness,0.21
popularity,speechiness,-0.04
duration_ms,speechiness,-0.06
danceability,speechiness,0.11
energy,speechiness,0.14
loudness,speechiness,0.06
speechiness,speechiness,1.0
acousticness,speechiness,-0.0
instrumentalness,speechiness,-0.09
liveness,speechiness,0.21
valence,speechiness,0.04
tempo,speechiness,0.02
popularity,acousticness,-0.03
duration_ms,acousticness,-0.1
danceability,acousticness,-0.17
energy,acousticness,-0.73
loudness,acousticness,-0.59
speechiness,acousticness,-0.0
acousticness,acousticness,1.0
instrumentalness,acousticness,0.1
liveness,acousticness,-0.02
valence,acousticness,-0.11
tempo,acousticness,-0.21
popularity,instrumentalness,-0.1
duration_ms,instrumentalness,0.12
danceability,instrumentalness,-0.19
energy,instrumentalness,-0.18
loudness,instrumentalness,-0.43
speechiness,instrumentalness,-0.09
acousticness,instrumentalness,0.1
instrumentalness,instrumentalness,1.0
liveness,instrumentalness,-0.08
valence,instrumentalness,-0.32
tempo,instrumentalness,-0.05
popularity,liveness,-0.01
duration_ms,liveness,0.01
danceability,liveness,-0.13
energy,liveness,0.18
loudness,liveness,0.08
speechiness,liveness,0.21
acousticness,liveness,-0.02
instrumentalness,liveness,-0.08
liveness,liveness,1.0
valence,liveness,0.02
tempo,liveness,0.0
popularity,valence,-0.04
duration_ms,valence,-0.15
danceability,valence,0.48
energy,valence,0.26
loudness,valence,0.28
speechiness,valence,0.04
acousticness,valence,-0.11
instrumentalness,valence,-0.32
liveness,valence,0.02
valence,valence,1.0
tempo,valence,0.08
popularity,tempo,0.01
duration_ms,tempo,0.02
danceability,tempo,-0.05
energy,tempo,0.25
loudness,tempo,0.21
speechiness,tempo,0.02
acousticness,tempo,-0.21
instrumentalness,tempo,-0.05
liveness,tempo,0.0
valence,tempo,0.08
tempo,tempo,1.0
